numbers,app_name,size_bytes,price,all_ratings,current_ver__ratings,avg_user_rating,current_user_rating,latest_version,age_rating,genre,num_devices_sup,num_screenshot,num_languages
1,PAC-MAN Premium,100788224,3.99,21292,26,4,4.5,6.3.5,4+,Games,38,5,10
2,Evernote - stay organized,158578688,0,161065,26,4,3.5,8.2.2,4+,Productivity,37,5,23
3,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0,188583,2822,3.5,4.5,5.0.0,4+,Weather,37,5,3
4,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0,262241,649,4,4.5,5.10.0,12+,Shopping,37,5,9
5,Bible,92774400,0,985920,5320,4.5,5,7.5.1,4+,Reference,37,5,45
6,Shanghai Mahjong,10485713,0.99,8253,5516,4,4,1.8,4+,Games,47,5,1
7,PayPal - Send and request money safely,227795968,0,119487,879,4,4.5,6.12.0,4+,Finance,37,0,19
8,Pandora - Music & Radio,130242560,0,1126879,3594,4,4.5,8.4.1,12+,Music,37,4,1
9,PCalc - The Best Calculator,49250304,9.99,1117,4,4.5,5,3.6.6,4+,Utilities,37,5,1
10,Ms. PAC-MAN,70023168,3.99,7885,40,4,4,4.0.4,4+,Games,38,0,10
11,Solitaire by MobilityWare,49618944,4.99,76720,4017,4.5,4.5,4.10.1,4+,Games,38,4,11
12,SCRABBLE Premium,227547136,7.99,105776,166,3.5,2.5,5.19.0,4+,Games,37,0,6
13,Google – Search made just for mobile,179979264,0,479440,203,3.5,4,27,17+,Utilities,37,4,33
14,Bank of America - Mobile Banking,160925696,0,119773,2336,3.5,4.5,7.3.8,4+,Finance,37,0,2
15,FreeCell,55153664,4.99,6340,668,4.5,4.5,4.0.3,4+,Games,38,5,2
16,TripAdvisor Hotels Flights Restaurants,207907840,0,56194,87,4,3.5,21.1,4+,Travel,37,1,26
17,Facebook,389879808,0,2974676,212,3.5,3.5,95,4+,Social Networking,37,1,29
18,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0,223885,3726,4,4.5,11.15.0,12+,Travel,37,5,18
19,"Shazam - Discover music, artists, videos & lyrics",147093504,0,402925,136,4,4.5,11.0.3,12+,Music,37,3,16
20,Crash Bandicoot Nitro Kart 3D,10735026,2.99,31456,4178,4,3.5,1.0.0,4+,Games,47,0,1
21,iQuran,70707916,1.99,2929,966,4.5,4.5,3.3,4+,Reference,43,0,2
22,:) Sudoku +,6169600,2.99,11447,781,5,5,5.2.6,4+,Games,40,5,1
23,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0,137951,131,4,4.5,6.9,4+,Sports,37,2,6
24,Mileage Log | Fahrtenbuch,71203840,5.99,8,0,4.5,0,9.0.5,4+,Business,37,5,3
25,Cleartune - Chromatic Tuner,11423008,3.99,3241,297,4,4,2.1.3,4+,Music,43,2,10
26,Lifesum – Inspiring healthy lifestyle app,188017664,0,5795,12,3.5,4,8.4.1,4+,Health & Fitness,37,5,11
27,Hangman.,4765696,0,42316,248,3,3.5,2.0.6,9+,Games,38,0,1
28,iTranslate - Language Translator & Dictionary,287933440,0,123215,25,3.5,5,10.5.4,4+,Productivity,37,5,23
29,TouchOSC,4263936,4.99,782,7,4,3.5,1.9.8,4+,Music,43,1,1
30,RadarScope,172772352,9.99,3449,23,4,4.5,3.4.1,4+,Weather,37,5,1
31,LinkedIn,273844224,0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,37,2,23
32,Period Tracker Deluxe,40216576,1.99,13350,489,4.5,5,9.6,12+,Health & Fitness,38,0,15
33,Election 2016 Map,2386944,0.99,137,0,3,0,5,4+,Entertainment,37,1,1
34,Blackjack by MobilityWare,105431040,0,180087,1101,3.5,4.5,5.5.3,12+,Games,37,5,5
35,White Noise,44129280,0.99,33426,299,4,5,7.2,4+,Health & Fitness,37,5,3
36,iHeartRadio – Free Music & Radio Stations,116443136,0,293228,110,4,3,8.0.0,12+,Music,37,5,2
37,Line Rider iRide™,1646592,1.99,21609,69,3.5,2.5,2.4,9+,Entertainment,40,0,1
38,Deliveries: a package tracker,30016512,4.99,4684,10,4,4,8.0.3,4+,Utilities,37,4,9
39,Hurricane Pro,29518848,2.99,2104,0,4.5,0,5.2,17+,Weather,37,0,1
40,Fieldrunners,66872320,2.99,41633,6,4,3,1.7.177604,9+,Games,37,0,1
41,Juxtaposer,45229056,2.99,3610,7,4.5,5,3.8.2,4+,Photo & Video,37,5,1
42,Deezer - Listen to your Favorite Music & Playlists,127470592,0,4677,12,3,4,6.19.0,12+,Music,37,5,21
43,iStellar,44241920,3.99,30,0,3.5,0,2.9.0,4+,Navigation,37,0,2
44,Sonos Controller,107983872,0,48905,2691,4.5,4.5,7.2,4+,Music,37,4,12
45,Avertinoo,8044544,4.99,32,0,3,0,3.9.2,4+,Navigation,38,5,7
46,Google Earth,37214208,0,446185,1359,3.5,3.5,7.1.6,4+,Travel,43,5,30
47,iFart - The Original Fart Sounds App,60320768,1.99,21825,10,3,4,4.0.8,9+,Entertainment,37,5,1
48,PAC-MAN,100849664,0,508808,99,3,4.5,6.3.5,4+,Games,38,5,10
49,FOX Sports Mobile,72748032,0,57500,103,3,4,3.5.13,4+,Sports,37,0,1
50,First Words Animals,32164864,1.99,2576,4,4,5,7,4+,Games,38,5,1
51,WeatherPro,69079040,1.99,1572,34,4,4.5,4.8.2,4+,Weather,37,0,13
52,HotSchedules,82037760,2.99,3292,2,3,5,4.56.1,4+,Business,37,2,2
53,Star Walk - Find Stars And Planets in Sky Above,150195200,4.99,8932,55,4.5,5,7.2.3,4+,Education,37,0,12
54,"The Weather Channel: Forecast, Radar & Alerts",199734272,0,495626,5893,3.5,4.5,8.11,4+,Weather,37,0,33
55,Big Day - Event Countdown,13156352,0.99,812,14,3,4,8.2.0,4+,Lifestyle,38,0,7
56,12 Steps AA Companion - Alcoholics Anonymous,30367744,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,37,5,1
57,OpenTable - Restaurant Reservations,93420544,0,113936,150,4.5,5,10.18.0,4+,Food & Drink,37,1,6
58,VLC Remote,31505408,4.99,2027,2,4,5,9.3,4+,Entertainment,37,5,33
59,gFlashPro - Flashcards & Tests,25997312,3.99,768,4,4,4,7.1,4+,Education,37,3,3
60,Lose It! – Weight Loss Program and Calorie Counter,182054912,0,373835,402,4,4.5,8.0.2,4+,Health & Fitness,37,3,1
61,Target,138754048,0,108131,13,3,2,8.21.0,4+,Shopping,37,0,1
62,Fish Tycoon,13564835,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,47,0,1
